,precision,recall,f1-score,support
Bumps,0.5985915492957746,0.7024793388429752,0.6463878326996197,121.0
Dirtiness,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
K_Scatch,0.9478260869565217,0.9316239316239316,0.9396551724137931,117.0
Other_Faults,0.723404255319149,0.6732673267326733,0.6974358974358974,202.0
Pastry,0.5588235294117647,0.40425531914893614,0.4691358024691358,47.0
Stains,0.782608695652174,0.8181818181818182,0.8,22.0
Z_Scratch,0.84375,0.9473684210526315,0.8925619834710744,57.0
accuracy,0.7478559176672385,0.7478559176672385,0.7478559176672385,0.7478559176672385
macro avg,0.7624795796874076,0.7656470138227768,0.7610756613808558,583.0
weighted avg,0.7479052082330543,0.7478559176672385,0.7453860205574953,583.0
