,precision,recall,f1-score,support
Bumps,0.7217391304347827,0.6859504132231405,0.7033898305084746,121.0
Dirtiness,0.8823529411764706,0.8823529411764706,0.8823529411764706,17.0
K_Scatch,0.9813084112149533,0.8974358974358975,0.9375,117.0
Other_Faults,0.6983471074380165,0.8366336633663366,0.7612612612612613,202.0
Pastry,0.6470588235294118,0.46808510638297873,0.5432098765432098,47.0
Stains,0.9473684210526315,0.8181818181818182,0.8780487804878049,22.0
Z_Scratch,0.9795918367346939,0.8421052631578947,0.9056603773584906,57.0
accuracy,0.7890222984562607,0.7890222984562607,0.7890222984562607,0.7890222984562607
macro avg,0.8368238102258515,0.7758207289892195,0.8016318667622445,583.0
weighted avg,0.7981136179419476,0.7890222984562607,0.7890960945866153,583.0
