,precision,recall,f1-score,support
Bumps,0.6470588235294118,0.6363636363636364,0.6416666666666667,121.0
Dirtiness,1.0,0.7058823529411765,0.8275862068965517,17.0
K_Scatch,0.9719626168224299,0.8888888888888888,0.9285714285714286,117.0
Other_Faults,0.6483050847457628,0.7574257425742574,0.6986301369863014,202.0
Pastry,0.5757575757575758,0.40425531914893614,0.475,47.0
Stains,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
Z_Scratch,0.8909090909090909,0.8596491228070176,0.875,57.0
accuracy,0.7409948542024014,0.7409948542024014,0.7409948542024014,0.7409948542024014
macro avg,0.7987337212724468,0.7243781258436758,0.7548091059209329,583.0
weighted avg,0.7490067547744327,0.7409948542024014,0.7411584590894698,583.0
