,precision,recall,f1-score,support
Bumps,0.5407407407407407,0.6033057851239669,0.5703125,121.0
Dirtiness,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
K_Scatch,0.8991596638655462,0.9145299145299145,0.9067796610169492,117.0
Other_Faults,0.6424870466321243,0.6138613861386139,0.6278481012658228,202.0
Pastry,0.5,0.425531914893617,0.45977011494252873,47.0
Stains,0.8636363636363636,0.8636363636363636,0.8636363636363636,22.0
Z_Scratch,0.7894736842105263,0.7894736842105263,0.7894736842105263,57.0
accuracy,0.6878216123499142,0.6878216123499142,0.6878216123499142,0.6878216123499142
macro avg,0.7143147687768918,0.7107207044122777,0.7117894724893045,583.0
weighted avg,0.6876735741365139,0.6878216123499142,0.6870249480222609,583.0
