,precision,recall,f1-score,support
Bumps,0.6880733944954128,0.6198347107438017,0.6521739130434783,121.0
Dirtiness,0.9411764705882353,0.9411764705882353,0.9411764705882353,17.0
K_Scatch,0.9646017699115044,0.9316239316239316,0.9478260869565217,117.0
Other_Faults,0.683982683982684,0.7821782178217822,0.7297921478060047,202.0
Pastry,0.65,0.5531914893617021,0.5977011494252874,47.0
Stains,0.9,0.8181818181818182,0.8571428571428571,22.0
Z_Scratch,0.8867924528301887,0.8245614035087719,0.8545454545454545,57.0
accuracy,0.7701543739279588,0.7701543739279588,0.7701543739279588,0.7701543739279588
macro avg,0.8163752531154321,0.7815354345471491,0.7971940113582627,583.0
weighted avg,0.7738884387468506,0.7701543739279588,0.7699569421924684,583.0
