,precision,recall,f1-score,support
Bumps,0.5267857142857143,0.48760330578512395,0.5064377682403434,121.0
Dirtiness,1.0,0.47058823529411764,0.64,17.0
K_Scatch,0.9615384615384616,0.8547008547008547,0.9049773755656109,117.0
Other_Faults,0.5766129032258065,0.7079207920792079,0.6355555555555555,202.0
Pastry,0.56,0.2978723404255319,0.3888888888888889,47.0
Stains,0.8571428571428571,0.8181818181818182,0.8372093023255814,22.0
Z_Scratch,0.6923076923076923,0.7894736842105263,0.7377049180327869,57.0
accuracy,0.6638078902229846,0.6638078902229846,0.6638078902229846,0.6638078902229846
macro avg,0.7391982326429332,0.632334432953883,0.6643962583726809,583.0
weighted avg,0.6764246298436803,0.6638078902229846,0.6606674234601881,583.0
