,precision,recall,f1-score,support
Bumps,0.5466666666666666,0.6776859504132231,0.6051660516605166,121.0
Dirtiness,0.6666666666666666,0.5882352941176471,0.625,17.0
K_Scatch,0.9557522123893806,0.9230769230769231,0.9391304347826087,117.0
Other_Faults,0.7182320441988951,0.6435643564356436,0.6788511749347258,202.0
Pastry,0.5111111111111111,0.48936170212765956,0.5,47.0
Stains,0.8947368421052632,0.7727272727272727,0.8292682926829268,22.0
Z_Scratch,0.7166666666666667,0.7543859649122807,0.7350427350427351,57.0
accuracy,0.7084048027444254,0.7084048027444254,0.7084048027444254,0.7084048027444254
macro avg,0.7156903156863786,0.6927196376872358,0.7017798127290733,583.0
weighted avg,0.7185974520176198,0.7084048027444254,0.7109736342946186,583.0
