,precision,recall,f1-score,support
Bumps,0.6785714285714286,0.628099173553719,0.6523605150214592,121.0
Dirtiness,0.8571428571428571,0.7058823529411765,0.7741935483870968,17.0
K_Scatch,0.9557522123893806,0.9230769230769231,0.9391304347826087,117.0
Other_Faults,0.6666666666666666,0.7821782178217822,0.7198177676537585,202.0
Pastry,0.5384615384615384,0.44680851063829785,0.4883720930232558,47.0
Stains,1.0,0.8181818181818182,0.9,22.0
Z_Scratch,0.92,0.8070175438596491,0.8598130841121495,57.0
accuracy,0.7530017152658662,0.7530017152658662,0.7530017152658662,0.7530017152658662
macro avg,0.8023706718902673,0.7301777914390523,0.7619553489971898,583.0
weighted avg,0.7597185921998078,0.7530017152658662,0.7532439052183314,583.0
