,precision,recall,f1-score,support
Bumps,0.61,0.5041322314049587,0.5520361990950227,121.0
Dirtiness,1.0,0.4117647058823529,0.5833333333333334,17.0
K_Scatch,0.9809523809523809,0.8803418803418803,0.9279279279279279,117.0
Other_Faults,0.6015625,0.7623762376237624,0.6724890829694323,202.0
Pastry,0.5714285714285714,0.425531914893617,0.4878048780487805,47.0
Stains,0.9,0.8181818181818182,0.8571428571428571,22.0
Z_Scratch,0.7666666666666667,0.8070175438596491,0.7863247863247863,57.0
accuracy,0.7015437392795884,0.7015437392795884,0.7015437392795884,0.7015437392795884
macro avg,0.7758014455782314,0.6584780474554341,0.6952941521203057,583.0
weighted avg,0.7160449338397451,0.7015437392795884,0.6993617393319136,583.0
